x,y,z
0.36,-0.05,0.91
0.35,-0.03,0.90
x,y,z
0.58,0.09,1.13
0.60,-0.12,1.26
0.60,-0.22,1.26
0.63,-0.29,1.15
0.61,-0.51,1.12
0.61,-0.62,1.12
0.59,-0.61,1.20
0.42,-0.67,1.15
0.23,-0.73,0.77
0.14,-0.67,0.53
-0.03,-0.80,0.33
-0.14,-0.76,0.16
-0.30,-0.50,-0.04
-0.49,-0.45,-0.29
-0.54,-0.33,-0.38
-0.52,0.12,-0.43
-0.61,0.57,0.05
-0.44,0.96,0.48
-0.10,1.32,1.01
0.09,1.45,1.49
0.10,1.00,1.61
0.05,0.69,2.07
0.04,0.66,2.12
0.04,0.37,1.98
-0.05,0.19,1.74
-0.08,0.13,1.44
-0.04,0.01,1.42
-0.14,-0.25,1.52
-0.18,-0.26,1.31
-0.07,-0.17,1.24
-0.10,-0.44,1.33
-0.19,-0.48,1.45
-0.36,-0.93,1.31
-0.25,-0.73,1.24
-0.36,-0.86,1.31
-0.43,-0.88,1.39
-0.36,-0.81,1.39
-0.32,-0.87,1.32
-0.36,-0.91,1.10
-0.37,-0.94,0.88
-0.26,-0.70,0.77
-0.17,-0.55,0.71
-0.10,-0.50,0.66
-0.14,-0.59,0.52
-0.15,-0.49,0.44
-0.05,-0.03,0.32
-0.02,0.02,0.19
0.09,0.08,-0.06
0.16,0.35,-0.59
0.01,0.36,-0.75
0.05,0.21,-0.37
0.11,0.05,-0.34
0.15,0.27,-0.37
0.17,0.59,-0.16
0.27,0.58,0.63
0.13,0.53,0.80
0.11,0.55,1.57
0.12,0.27,2.45
0.04,0.06,2.50
0.06,0.07,2.17
-0.08,-0.16,1.36
-0.01,-0.04,1.35
0.13,0.10,1.48
0.23,0.31,1.47
0.20,0.28,1.28
0.08,0.18,1.16
-0.02,0.07,1.03
-0.03,0.07,0.94
-0.05,0.09,0.88
-0.06,0.00,0.92
-0.03,0.07,0.90
-0.00,0.17,0.93
-0.05,0.09,1.00
-0.05,0.09,0.99
-0.04,0.11,1.00
0.01,0.22,0.93
0.11,0.19,1.73
-0.13,-0.05,0.70
-0.10,0.02,0.86
-0.01,0.29,1.14
-0.08,0.11,0.90
-0.01,0.21,0.99
-0.06,0.17,0.93
-0.08,0.08,1.02
-0.10,0.06,0.97
-0.05,0.16,0.96
-0.05,0.13,0.99
-0.06,0.11,0.95
-0.01,0.13,0.97
0.01,0.15,1.05
0.07,0.20,1.18
0.11,0.26,1.21
0.12,0.19,1.22
0.15,0.19,1.28
0.15,0.19,1.35
0.12,0.14,1.30
0.05,0.03,1.10
0.11,-0.00,1.01
0.14,-0.03,0.97
0.14,-0.03,0.93
0.18,0.13,0.88
0.21,0.14,0.82
0.22,0.05,0.83
0.22,-0.08,0.84
0.23,-0.05,0.81
0.25,0.10,0.68
0.28,0.06,0.75
0.29,-0.07,0.80
0.31,-0.14,0.83
0.33,-0.01,0.76
0.39,0.09,0.72
0.41,0.04,0.77
0.39,-0.08,0.78
0.37,-0.13,0.75
0.39,-0.08,0.71
0.43,-0.00,0.67
0.45,-0.04,0.74
0.48,-0.06,0.74
0.50,-0.07,0.77
0.49,-0.06,0.77
0.50,-0.07,0.78
0.51,-0.08,0.79
0.53,-0.07,0.82
0.53,-0.04,0.82
0.51,-0.04,0.79
0.55,-0.06,0.83
0.56,-0.04,0.84
0.56,-0.02,0.85
0.54,-0.05,0.84
0.53,-0.08,0.82
0.54,-0.07,0.83
0.55,-0.05,0.83
0.52,-0.10,0.81
0.52,-0.10,0.80
0.59,0.06,0.81
0.58,0.04,0.83
0.55,-0.04,0.83
0.53,-0.09,0.84
0.53,-0.07,0.87
0.51,-0.07,0.84
0.51,-0.09,0.91
0.46,-0.13,0.89
0.44,-0.12,0.88
0.41,-0.11,0.87
0.41,-0.15,0.88
0.41,-0.19,0.90
0.40,-0.21,0.84
0.43,-0.20,0.78
0.44,-0.19,0.82
0.44,-0.16,0.80
x,y,z
0.85,0.07,1.06
0.72,-0.08,1.18
0.76,-0.32,1.45
0.88,-0.37,1.58
0.83,-0.43,1.54
0.51,-0.78,1.37
0.36,-1.10,1.36
0.19,-0.89,0.97
0.07,-0.64,0.63
-0.11,-0.62,0.33
-0.25,-0.70,0.21
-0.49,-0.62,-0.13
-0.60,-0.52,-0.34
-0.69,-0.24,-0.62
-0.67,0.08,-0.46
-0.46,0.56,-0.03
-0.24,1.11,0.04
-0.03,1.50,0.42
0.24,1.40,1.03
0.41,1.38,1.48
0.60,1.55,1.85
0.44,1.04,1.85
0.06,0.33,1.80
-0.02,0.08,1.84
0.22,0.16,1.75
0.10,0.05,1.64
-0.18,-0.45,1.65
-0.03,-0.71,1.49
-0.03,-0.60,1.41
-0.18,-0.81,1.68
-0.40,-1.33,1.92
-0.40,-1.13,1.78
-0.45,-1.01,1.53
-0.53,-1.06,1.46
-0.56,-1.05,1.35
-0.57,-0.92,1.12
-0.62,-0.91,0.84
-0.52,-0.82,0.63
-0.32,-0.64,0.44
-0.20,-0.35,0.31
-0.07,-0.25,0.25
0.06,-0.14,0.27
0.19,0.04,0.23
0.34,0.28,0.14
0.39,0.39,-0.06
0.40,0.43,-0.27
0.44,0.36,-0.31
0.37,0.25,-0.52
0.30,0.20,-0.86
0.36,0.19,-0.95
0.30,0.27,-0.91
0.21,0.26,-0.89
0.12,-0.19,-0.57
0.24,0.30,-0.20
0.23,0.87,0.39
-0.09,0.12,1.07
-0.03,0.04,1.72
0.18,0.43,2.40
0.11,0.26,2.09
0.22,-0.06,2.02
0.22,-0.09,1.97
0.23,0.05,1.80
0.09,0.14,1.40
0.08,-0.14,1.30
0.11,0.03,1.03
0.01,0.05,0.93
-0.03,-0.02,0.94
0.09,0.11,1.10
0.05,0.12,1.01
-0.03,0.06,0.94
0.03,0.06,0.94
0.02,0.07,0.92
-0.02,0.03,0.96
-0.01,-0.00,1.05
0.02,0.06,1.05
-0.03,0.03,1.00
-0.02,0.04,0.98
0.03,0.11,0.99
0.03,0.11,0.98
-0.04,0.02,0.94
-0.01,0.06,1.27
0.03,0.15,1.02
0.06,0.10,0.93
-0.01,0.04,0.90
0.01,0.02,1.12
0.00,0.09,0.88
0.02,0.11,1.01
-0.00,0.07,0.97
-0.02,0.00,0.98
0.01,0.06,0.97
0.01,0.07,0.93
0.01,0.05,0.99
0.03,0.07,0.98
0.03,0.07,0.95
0.02,0.04,1.00
0.07,0.09,1.06
0.10,0.15,1.13
0.10,0.13,1.15
0.08,0.03,1.13
0.15,0.05,1.14
0.20,0.14,1.17
0.20,0.08,1.22
0.19,0.05,1.12
0.21,0.09,1.03
0.23,0.12,1.04
0.20,0.08,1.08
0.18,0.00,1.03
0.18,-0.12,1.02
0.02,-0.23,0.84
0.08,-0.14,0.73
0.16,-0.05,0.90
0.29,0.08,0.99
0.24,-0.05,0.89
0.21,-0.13,0.77
0.22,-0.15,0.72
0.26,-0.03,0.67
0.27,0.03,0.65
0.30,-0.04,0.79
0.26,-0.08,0.76
0.26,-0.13,0.71
0.32,0.03,0.75
0.36,0.10,0.77
0.33,-0.03,0.79
0.33,-0.09,0.81
0.32,-0.08,0.79
0.34,-0.08,0.80
0.38,-0.05,0.83
0.36,-0.06,0.83
0.37,-0.09,0.85
0.37,-0.09,0.85
0.38,-0.04,0.88
0.38,-0.02,0.90
0.38,-0.05,0.87
0.38,-0.07,0.88
0.39,-0.03,0.90
0.42,0.00,0.90
0.41,-0.00,0.89
0.40,-0.03,0.90
0.40,-0.03,0.90
0.40,-0.01,0.82
0.41,-0.01,0.81
0.41,-0.06,0.84
0.42,-0.02,0.85
0.42,-0.01,0.84
0.41,-0.08,0.85
0.40,-0.10,0.89
0.41,-0.05,0.90
0.43,-0.06,0.89
0.41,-0.10,0.94
0.41,-0.04,0.95
x,y,z
0.47,-0.00,0.90
0.60,0.16,1.00
0.82,0.40,1.23
0.84,0.32,1.25
0.88,0.25,1.06
0.82,0.11,0.91
0.76,0.03,1.12
0.74,-0.41,1.38
0.65,-0.53,1.37
0.44,-0.48,1.27
0.19,-0.86,1.09
0.06,-1.08,1.11
-0.08,-1.20,1.00
-0.15,-1.23,0.84
-0.21,-1.12,0.59
-0.28,-0.95,0.32
-0.48,-0.89,-0.02
-0.65,-0.91,-0.23
-0.78,-0.68,-0.36
-0.82,-0.36,-0.35
-0.79,0.16,-0.25
-0.68,0.52,-0.02
-0.55,1.04,0.03
-0.37,1.41,0.20
0.00,1.86,1.11
0.05,1.62,1.52
0.07,1.32,1.62
0.11,0.97,1.73
0.03,0.71,1.86
0.28,1.06,2.09
0.21,0.42,1.99
-0.16,-0.06,1.81
-0.30,-0.29,1.76
-0.19,-0.58,1.66
-0.24,-0.70,1.69
-0.50,-1.06,1.63
-0.36,-1.06,1.68
-0.27,-0.88,1.74
-0.34,-0.92,1.72
-0.46,-1.11,1.61
-0.45,-1.05,1.46
-0.46,-0.92,1.11
-0.46,-0.88,1.04
-0.38,-0.77,0.80
-0.33,-0.71,0.59
-0.26,-0.77,0.50
-0.18,-0.75,0.49
-0.17,-0.70,0.43
-0.15,-0.56,0.33
-0.00,-0.15,0.22
0.08,0.05,0.03
0.03,-0.10,-0.04
0.07,-0.11,-0.08
0.12,-0.12,-0.09
0.13,0.08,-0.18
0.02,0.16,-0.33
-0.11,-0.02,-0.38
-0.03,0.01,-0.25
-0.02,0.56,-0.43
-0.15,0.62,-0.39
-0.05,0.46,0.42
0.11,1.24,0.90
0.09,1.30,1.34
-0.09,0.34,2.35
-0.25,-0.02,2.62
-0.20,0.32,2.15
0.09,0.34,2.21
0.17,0.25,2.24
-0.02,0.11,1.76
-0.15,0.05,1.14
-0.07,-0.03,1.02
-0.07,-0.06,1.00
-0.14,-0.01,0.93
0.03,0.01,2.31
-0.04,0.30,0.27
-0.04,0.04,0.93
-0.09,0.04,0.90
-0.11,0.02,0.84
-0.13,-0.00,1.20
-0.10,0.20,0.82
-0.18,-0.04,1.10
-0.10,0.06,0.93
-0.20,-0.05,0.89
-0.16,0.02,0.98
-0.13,0.04,0.98
-0.13,-0.02,0.99
-0.12,0.01,0.95
-0.12,0.03,0.96
-0.11,0.04,0.96
-0.12,0.03,0.94
-0.13,0.04,0.97
-0.13,0.02,0.96
-0.13,0.03,0.95
-0.14,0.03,0.95
-0.12,0.01,0.96
-0.11,0.03,0.99
-0.12,0.03,0.94
-0.12,0.02,0.96
-0.12,0.00,0.97
-0.10,0.05,0.93
-0.08,0.07,0.98
-0.09,0.04,0.95
-0.09,0.04,0.98
-0.11,0.04,0.95
-0.12,0.01,0.97
-0.12,0.02,0.96
-0.09,0.07,0.97
-0.10,0.05,0.95
-0.11,0.00,0.97
-0.09,0.01,0.97
-0.09,0.06,0.95
-0.09,0.04,0.97
-0.10,0.01,0.96
-0.08,-0.05,1.05
-0.09,-0.02,1.04
-0.09,0.04,0.99
-0.08,0.06,0.92
-0.08,0.01,0.94
-0.06,-0.00,0.97
-0.08,0.04,0.92
-0.07,0.02,0.94
-0.04,0.04,0.99
-0.06,0.06,0.96
-0.07,0.03,0.96
-0.06,0.04,0.93
-0.05,0.01,0.98
-0.04,0.00,1.02
-0.04,0.06,0.96
-0.03,0.07,0.94
-0.01,0.08,0.90
-0.01,0.07,0.98
-0.02,0.07,0.98
-0.03,0.05,0.96
-0.03,0.04,0.95
-0.02,0.08,0.93
-0.01,0.08,0.97
-0.02,0.05,0.95
-0.03,0.05,0.96
-0.02,0.08,0.95
-0.02,0.08,0.95
-0.02,0.04,0.97
-0.02,0.04,0.98
-0.01,0.06,0.95
0.01,0.08,0.97
-0.01,0.07,0.95
-0.02,0.04,0.97
-0.01,0.04,0.98
-0.01,0.04,0.97
0.00,0.06,0.96
-0.00,0.05,0.96
x,y,z
0.88,0.32,1.06
0.83,0.16,1.28
0.82,-0.17,1.49
0.90,-0.28,1.54
0.71,-0.35,1.42
0.52,-0.48,1.29
0.43,-0.52,1.35
0.14,-0.72,1.21
-0.19,-0.95,0.82
-0.42,-1.08,0.54
-0.63,-1.20,0.12
-0.72,-1.15,-0.08
-0.68,-0.95,0.01
-0.65,-0.41,-0.13
-0.64,0.06,-0.42
-0.64,0.35,-0.43
-0.60,0.52,-0.15
-0.51,0.87,-0.07
-0.21,1.69,0.25
-0.17,1.61,0.61
0.17,1.60,1.39
0.20,1.47,1.48
0.17,1.33,1.55
-0.00,0.89,1.96
0.11,0.49,2.20
0.25,0.67,2.13
-0.04,0.33,1.97
-0.11,-0.22,1.87
-0.02,-0.19,1.81
-0.08,-0.14,1.89
-0.18,-0.42,1.65
-0.04,-0.45,1.30
-0.09,-0.61,1.10
-0.07,-0.73,1.33
0.01,-0.58,1.61
-0.10,-0.60,1.43
-0.27,-0.67,1.26
-0.47,-0.90,1.12
-0.56,-1.00,1.08
-0.42,-0.90,1.07
-0.35,-0.73,0.96
-0.29,-0.60,0.82
-0.19,-0.38,0.68
-0.17,-0.39,0.53
-0.09,-0.32,0.31
-0.07,-0.20,0.15
0.06,0.05,-0.09
0.14,0.26,-0.30
0.19,0.19,-0.30
0.27,0.25,-0.32
0.22,0.22,-0.28
0.19,0.16,-0.15
0.18,0.25,0.02
0.22,0.36,0.12
0.28,0.57,0.42
0.28,0.55,0.96
0.17,0.45,1.16
0.13,0.33,1.46
0.15,0.31,1.75
0.04,0.13,1.75
-0.01,0.02,1.36
0.02,-0.04,1.46
0.09,0.04,1.63
0.04,0.07,1.53
-0.02,-0.04,1.20
-0.02,-0.12,1.16
0.02,0.05,1.23
-0.01,0.23,1.06
-0.03,-0.01,1.07
-0.03,0.02,1.12
-0.02,0.12,1.17
-0.04,0.21,0.97
-0.08,0.07,0.98
-0.14,0.00,0.98
-0.16,-0.00,0.95
-0.09,0.12,0.91
-0.03,0.15,0.96
-0.04,0.11,0.97
-0.07,0.09,0.94
-0.06,0.10,0.99
-0.03,0.17,1.01
-0.09,0.05,1.01
-0.12,0.03,1.10
-0.08,0.09,0.91
-0.08,0.12,0.92
-0.11,0.04,0.90
-0.11,0.03,1.02
-0.09,0.05,0.94
-0.07,0.11,0.90
-0.05,0.08,1.00
-0.09,0.03,0.97
-0.08,0.06,0.95
-0.07,0.08,0.97
-0.08,0.04,0.97
-0.09,0.04,0.97
-0.09,0.04,0.95
-0.08,0.07,0.95
-0.07,0.06,0.97
-0.07,0.05,0.95
-0.08,0.03,0.98
-0.08,0.03,0.96
-0.07,0.03,0.98
-0.07,0.04,0.95
-0.06,0.04,0.97
-0.06,0.04,0.95
-0.05,0.06,0.94
-0.06,0.02,0.97
-0.06,0.02,0.98
-0.05,0.03,0.97
-0.04,0.02,0.98
-0.03,0.03,0.97
-0.02,0.03,0.98
-0.03,0.04,0.93
-0.03,0.03,0.98
-0.01,0.01,0.99
-0.00,0.01,0.99
-0.00,0.01,0.98
-0.01,-0.00,0.95
0.00,0.02,0.92
0.03,0.01,0.99
0.03,0.01,0.98
0.01,-0.04,0.95
0.00,-0.04,0.94
0.04,-0.05,0.97
0.04,-0.00,0.95
0.10,0.11,0.97
0.08,0.03,0.97
0.06,-0.03,0.97
0.05,-0.03,0.96
0.06,-0.04,0.97
0.06,-0.06,0.97
0.09,0.01,0.95
0.12,0.06,0.95
0.12,0.03,0.94
0.09,-0.05,0.96
0.08,-0.06,0.93
0.10,-0.03,0.96
0.12,-0.01,0.96
0.11,-0.05,0.97
0.09,-0.07,0.92
0.11,-0.04,0.97
0.12,-0.02,0.93
0.12,-0.00,0.96
0.10,-0.02,0.93
0.12,-0.02,0.97
0.13,-0.02,0.96
0.12,-0.02,0.94
0.12,-0.02,0.96
0.10,-0.03,0.95
0.12,-0.02,0.96
x,y,z
0.41,-0.04,0.89
0.40,-0.04,0.87
0.40,-0.05,0.85
0.41,-0.04,0.86
0.40,-0.03,0.86
0.39,-0.04,0.85
0.39,-0.06,0.85
0.38,-0.06,0.84
0.38,-0.07,0.87
0.39,-0.08,0.86
0.40,-0.05,0.87
0.40,-0.04,0.86
0.41,-0.06,0.87
0.42,-0.04,0.87
0.42,-0.02,0.86
0.42,-0.04,0.88
0.41,-0.05,0.89
0.41,0.01,0.91
0.44,0.00,0.91
0.43,-0.00,0.93
0.43,-0.01,0.93
0.43,-0.02,0.85
0.44,-0.04,0.81
0.48,-0.03,0.81
0.54,-0.02,0.87
0.67,0.01,0.96
0.79,0.00,1.06
0.84,0.05,1.13
0.77,-0.12,1.21
0.77,-0.29,1.25
0.74,-0.32,1.28
0.59,-0.34,1.14
0.47,-0.43,0.98
0.50,-0.53,1.05
0.44,-0.52,0.97
0.16,-0.60,0.70
0.01,-0.80,0.56
-0.14,-0.95,0.51
-0.43,-1.09,0.39
-0.59,-0.96,0.29
-0.62,-0.73,0.28
-0.61,-0.57,0.18
-0.61,-0.18,-0.09
-0.44,0.46,-0.20
-0.26,0.92,0.07
-0.01,0.97,0.36
0.36,1.26,0.73
0.49,1.48,1.13
0.46,1.27,1.14
0.51,1.03,1.44
0.50,0.86,1.72
0.38,0.81,1.60
0.41,0.64,1.53
0.36,0.24,1.57
-0.13,-0.18,1.50
-0.24,-0.20,1.66
-0.09,-0.33,1.58
-0.06,-0.22,1.50
-0.21,-0.39,1.47
-0.22,-0.65,1.41
-0.15,-0.64,1.20
-0.16,-0.66,1.19
-0.24,-0.81,1.16
-0.16,-0.76,1.22
-0.09,-0.63,1.11
-0.25,-0.64,1.04
-0.42,-0.88,1.02
-0.36,-0.84,1.12
-0.21,-0.89,1.10
-0.17,-0.75,1.08
-0.22,-0.68,0.89
-0.05,-0.61,0.88
-0.08,-0.65,0.78
-0.07,-0.57,0.71
0.03,-0.35,0.63
0.06,-0.15,0.43
-0.02,-0.18,0.29
-0.13,-0.35,0.14
-0.13,-0.32,-0.01
-0.14,-0.11,-0.21
-0.09,0.23,-0.59
-0.05,0.37,-0.71
0.00,0.37,-0.31
-0.02,0.39,-0.16
-0.02,0.53,0.26
0.11,0.83,0.78
0.07,0.69,1.16
0.06,0.50,2.07
0.05,0.31,1.99
0.11,0.29,2.09
0.18,0.46,1.93
0.11,0.41,1.78
-0.05,0.01,1.38
-0.00,-0.03,1.22
0.09,0.29,2.88
0.14,0.15,-0.79
-0.05,-0.14,1.05
0.05,-0.07,0.91
0.07,0.16,0.78
-0.04,-0.03,0.85
-0.03,0.09,0.81
-0.03,0.11,0.83
-0.07,0.05,0.91
-0.11,-0.02,0.91
-0.19,0.08,2.00
-0.05,0.12,0.59
-0.07,-0.01,0.78
-0.01,0.10,1.46
-0.08,0.06,0.66
-0.01,0.04,1.07
-0.02,0.07,0.88
-0.03,0.04,0.97
-0.02,0.03,0.99
-0.03,0.03,0.97
-0.03,0.02,0.96
-0.01,0.05,0.95
-0.02,0.02,0.99
-0.02,0.02,0.95
-0.03,-0.00,0.96
-0.01,-0.01,0.97
-0.02,-0.03,0.96
-0.01,-0.04,0.99
0.01,0.06,0.95
0.07,0.08,0.98
0.04,-0.04,1.00
0.02,-0.09,0.99
0.02,-0.08,0.94
0.06,0.00,0.96
0.07,0.02,0.96
0.05,-0.05,0.98
0.04,-0.08,0.94
0.04,-0.10,0.95
0.10,-0.06,0.93
0.11,-0.04,0.99
0.13,0.03,0.95
0.10,0.01,0.90
0.13,-0.06,0.96
0.11,-0.11,0.92
0.12,-0.13,0.93
0.14,-0.12,0.89
0.19,-0.02,0.89
0.22,0.09,0.99
0.18,0.05,0.94
0.18,-0.02,1.01
0.20,-0.02,0.97
0.16,-0.02,0.88
0.19,-0.02,0.98
0.18,-0.02,0.90
0.24,0.01,0.94
0.23,0.01,0.91
x,y,z
0.60,-0.23,1.32
0.53,-0.31,1.27
0.45,-0.46,1.17
0.46,-0.60,0.93
0.35,-0.66,0.87
0.16,-0.98,1.07
0.05,-1.13,1.00
-0.02,-1.02,0.82
-0.21,-0.91,0.54
-0.39,-0.88,0.45
-0.56,-0.91,0.49
-0.65,-0.81,0.35
-0.64,-0.52,0.09
-0.69,0.18,-0.42
-0.72,0.36,-0.27
-0.55,0.59,-0.18
0.00,1.71,0.03
0.09,1.78,0.16
0.17,1.30,0.56
0.34,1.34,1.01
